         7076151 function calls (6986028 primitive calls) in 66.852 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:50(TTLibError)
        1    0.000    0.000    0.000    0.000 __init__.py:509(IndexedStringsCompiler)
       27    0.000    0.000    0.001    0.000 __init__.py:512(_get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:515(TopDictIndexCompiler)
        1    0.000    0.000    0.000    0.000 __init__.py:551(FDArrayIndexCompiler)
       28    0.000    0.000    0.000    0.000 __init__.py:557(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:56(DesignSpaceDocumentError)
        3    0.000    0.000    0.000    0.000 __init__.py:570(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:592(GlobalSubrsCompiler)
        3    0.000    0.000    0.000    0.000 __init__.py:598(push)
        1    0.000    0.000    0.000    0.000 __init__.py:604(SubrsCompiler)
        1    0.000    0.000    0.000    0.000 __init__.py:613(CharStringsCompiler)
        3    0.000    0.000    0.000    0.000 __init__.py:623(__setitem__)
        5    0.000    0.000    0.000    0.000 __init__.py:623(clear)
        1    0.000    0.000    0.000    0.000 __init__.py:627(Index)
        1    0.000    0.000    0.000    0.000 __init__.py:628(bubble)
      446    0.002    0.000    0.002    0.000 __init__.py:65(check_isinstance)
    27484    0.019    0.000    0.024    0.000 __init__.py:653(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:66(AsDictMixin)
        1    0.000    0.000    0.000    0.000 __init__.py:699(GlobalSubrsIndex)
        1    0.000    0.000    0.000    0.000 __init__.py:709(BaseDocReader)
        1    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:73(get_projection_class)
    10000    0.009    0.000    0.009    0.000 __init__.py:77(_tensor_or_tensors_to_tuple)
       36    0.000    0.000    0.000    0.000 __init__.py:786(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:799(SubrsIndex)
      588    0.000    0.000    0.000    0.000 __init__.py:80(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:807(TopDictIndex)
        2    0.000    0.000    0.000    0.000 __init__.py:817(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:818(<dictcomp>)
      218    0.000    0.000    0.000    0.000 __init__.py:823(clean)
      218    0.000    0.000    0.000    0.000 __init__.py:826(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:83(SimpleDescriptor)
    10000    0.067    0.000   36.618    0.004 __init__.py:85(backward)
        1    0.000    0.000    0.000    0.000 __init__.py:859(FDArrayIndex)
